ID,TYPE,Na23,Fe57,Zn66,Rb85,Mn55,K39,Se82,P31,Cu65,Mg25,Sr88,As75,Cd114,Ca43,Co59,Mo98,S34,Li7
4958,Feuille,824.82074,139.10838,100.07453,418.95224,235.78917,74953.94,70.99032,14853.07,7.7902036,4130.3594,62.78301,1.0571786,2.6660786,38051.754,2.2945652,3.474627,13819.455,14.61729
5023,Feuille,1822.5951,144.50812,87.85058,400.10538,221.38448,71072.86,67.36541,16499.764,7.907514,5260.4814,71.07928,0.95946866,2.1431994,44950.086,1.930126,2.890136,11796.474,16.189753
5104,Feuille,1715.2614,142.05338,90.85304,352.85745,234.65308,66567.68,69.96971,16689.414,9.352598,4739.84,69.27866,1.4658811,2.386312,41695.684,2.408652,4.4638257,10270.252,14.905905
5151,Feuille,801.483,142.15126,92.5891,480.9813,223.67372,74718.375,87.03258,15972.796,8.443247,4336.0854,65.107956,0.831738,2.241607,44537.15,1.8380346,5.824414,13685.975,15.715736
5165,Feuille,1167.0349,144.60732,97.563156,388.44687,232.40846,66621.2,66.90168,15629.621,8.645592,4656.8037,71.59904,0.9495249,2.5370934,44888.46,2.528798,3.6320915,12018.95,15.373252
5210,Feuille,1401.7196,138.6287,90.18206,428.051,214.79126,69271.234,76.24923,15866.429,7.971083,4561.381,64.41435,1.0699466,2.3887753,41194.082,2.1005428,7.032997,13186.469,14.780296
5236,Feuille,1878.7765,142.56041,90.86013,384.96695,241.41513,68279.26,70.59109,16107.341,7.5489435,4665.964,67.09299,0.91674465,2.4580896,42707.47,2.3116372,3.9948256,13399.5,14.462359
5253,Feuille,1415.5924,138.61884,95.64952,362.14417,241.83603,64024.508,74.14802,15424.397,8.440325,4593.0596,69.10833,0.90256315,2.409893,43705.01,2.0037153,5.2884274,12689.022,15.102133
5276,Feuille,1512.423,143.6078,80.96523,337.96716,221.62509,66392.2,67.67532,15855.653,8.047043,5561.7783,71.04799,0.91478586,2.0144625,45521.97,2.0780582,2.838091,12101.242,15.135254
5349,Feuille,1164.9841,146.64262,90.91047,391.9009,224.98232,65472.066,61.91565,14748.788,7.18831,5431.222,68.56674,0.940206,2.1467352,45886.676,1.916387,2.9480844,11556.5625,15.633439
5353,Feuille,2699.967,143.00243,85.466255,395.24945,219.06271,64847.188,70.86514,16457.758,7.7435665,4896.8726,68.311584,0.8567074,2.253801,44684.64,2.0020173,3.9051528,12522.871,14.484622
5486,Feuille,886.1308,138.74263,96.18189,413.09967,231.84804,69400.01,71.982605,15311.999,7.1236863,4661.979,69.31701,0.938587,2.7906902,41368.3,3.1875463,5.0568924,10645.085,14.312724
5577,Feuille,1362.9537,139.9485,145.69481,421.42178,234.52673,72600.68,72.725174,16775.68,7.7952604,5181.9727,66.3246,0.9290045,2.5393927,42366.43,2.1370187,4.9916525,13031.039,14.833285
5644,Feuille,1797.637,137.89789,90.41312,397.2455,224.46252,71353.74,70.47207,15950.634,8.111865,5064.8794,63.01882,0.9813532,2.4153829,40604.89,2.1418216,3.302688,13054.802,14.836854
5720,Feuille,2506.4573,143.63417,87.69094,448.88913,210.27042,73183.18,71.19339,20734.717,7.6597834,5282.3394,62.86909,0.97747505,2.0422704,40777.316,2.0355725,23.872759,12811.904,13.837373
5726,Feuille,1602.1108,139.2866,92.156456,387.83728,228.60497,66573.17,80.058525,15563.87,8.006537,4903.92,69.730194,0.88894415,2.4076207,43100.773,2.5241647,4.465096,13983.456,14.903837
5741,Feuille,889.37,142.34514,88.77568,392.03625,220.0761,64058.3,69.06043,15530.866,7.3263936,5299.208,71.82794,1.0378956,2.0699978,44239.055,2.8595896,3.7792532,12326.538,14.481071
5748,Feuille,951.36865,140.41396,90.06796,394.0976,221.82516,73436.87,67.908104,17565.873,7.1162176,5031.14,67.38483,0.96194696,2.249412,40826.695,2.6589994,9.297916,12476.408,14.272297
5757,Feuille,644.73645,137.81984,92.307014,388.79242,231.09921,71104.36,93.4784,16457.72,8.565928,4174.9463,64.86811,1.2151558,2.8565974,39514.23,1.9824045,4.812829,15048.484,13.558432
5768,Feuille,1405.6603,142.08023,93.92976,337.3431,233.73732,65512.387,71.898575,15681.299,6.8810363,4277.362,73.329956,1.0983658,2.8863595,42741.39,2.9929311,4.592417,13629.22,14.405461
5772,Feuille,875.8488,136.33374,91.42107,417.9047,223.98958,78790.51,80.863205,16339.95,6.5567827,5143.0815,63.38678,0.94081557,2.450489,38221.254,3.5386891,1.722197,13335.233,13.275848
5779,Feuille,1021.2109,136.97902,91.76194,397.0629,257.2074,71690.336,71.64906,17096.701,8.635093,4399.276,65.54377,0.80917287,2.4631033,41506.668,2.0746028,13.694287,12750.872,14.731491
5784,Feuille,1085.8286,140.56372,96.826385,390.5787,239.94267,72004.12,67.534454,19844.62,8.555235,4502.191,64.44784,0.89358807,2.5845757,40277.555,2.5624423,12.249815,12423.2,14.422255
5800,Feuille,1105.3751,140.90674,94.6988,414.52148,235.1207,70294.46,60.351128,15954.237,7.634869,4674.427,69.55615,1.0081998,2.882224,41042.535,2.5824618,2.79487,11439.526,14.967744
5811,Feuille,835.2513,141.6358,86.25943,394.6778,224.38762,65126.355,69.93653,17925.424,8.024725,4650.5195,73.86359,1.0148045,2.520868,44901.5,2.6965535,5.015147,12452.201,15.291395
5822,Feuille,818.8558,133.72174,86.389305,436.96667,202.2329,70970.12,81.29339,17666.96,8.605805,4618.4224,61.044094,0.9552137,2.1906614,39305.375,1.6961906,6.2504673,14225.227,13.234135
5830,Feuille,965.87244,139.38686,85.39099,418.37634,224.91135,73779.49,73.946144,16491.25,8.147486,5284.7515,66.336,0.9481202,2.1148732,42037.613,2.4576695,3.7558765,13745.261,13.639044
5831,Feuille,1004.2144,138.0556,96.09678,369.82993,223.9304,69968.13,70.402214,15383.041,8.613975,5470.048,65.694855,0.95385045,2.690224,39789.09,2.4412847,14.298979,12911.561,15.014794
5832,Feuille,890.47687,142.86218,86.22963,349.94586,244.31563,68518.59,52.364525,16970.52,8.467034,4543.6025,64.2148,1.0724238,2.4685717,41693.84,3.291208,11.713691,10981.914,14.690795
5837,Feuille,1184.7614,141.33719,107.2965,368.11423,249.77669,63246.938,76.780235,14451.158,7.345215,4841.149,73.9548,1.1231917,3.024239,41858.918,2.851979,3.202193,12563.383,14.8075695
5856,Feuille,898.0237,139.83205,88.84729,425.21008,221.77303,73557.61,71.31002,16951.432,7.522255,4831.4575,70.48397,0.9101568,2.2926986,43010.195,4.213961,1.5173805,12725.575,14.62313
5865,Feuille,1613.0039,139.41087,91.464424,383.02408,254.53613,61972.57,66.0866,18707.758,8.244793,5134.407,75.094215,0.9468947,2.9220877,41055.69,3.058934,8.545285,12623.783,13.975975
5867,Feuille,836.0842,139.68124,86.718544,387.43646,234.91312,75266.5,61.182804,16414.623,7.4586177,5441.8906,71.21207,0.937794,2.63231,42508.598,2.5179474,8.010902,10992.239,14.473982
5874,Feuille,1130.1592,137.14894,96.58765,423.47638,236.42714,73556.41,75.93418,16262.803,7.613826,4929.3423,61.463673,0.94668126,2.6942768,37569.01,2.1677494,5.902277,13123.79,13.764424
5890,Feuille,808.27673,140.72462,91.26883,374.03076,250.83775,64378.26,66.97794,16602.145,7.964451,5035.533,69.30696,0.8896667,2.7197425,43288.18,1.867755,4.25056,12199.017,14.911699
5893,Feuille,968.091,138.49522,87.777115,370.77884,225.74146,65897.305,81.20534,15413.697,7.310588,5251.1895,65.74884,0.91570336,2.3040125,43180.72,1.8931385,4.0799785,12493.85,14.981248
5907,Feuille,1311.2744,142.49086,92.39902,368.502,224.30281,73575.445,64.76566,15401.612,7.1803336,5621.9,68.86331,0.9774134,2.5607877,42669.984,2.8693554,3.4618907,12708.184,14.508215
